split_cortana1_nosilence_000|A dozen Covenant Superior Battleships against a single Housey Enclas Cruiser. Air support is cut off, Captain. We need to hold here until she can move in. Activating Final Countdown Timer. When it reaches zero, the engines will detonate. The explosion will generate a temperature of almost...
split_cortana1_nosilence_001|100 million degrees. Don't be here when it blows. Alert, a covenant is making a run for that stationary gun. Take him out. According to my analysis of the available data, I believe the best course of action is somewhat risky. An explosion of...
split_cortana1_nosilence_002|This efficient size will help destabilize the ring and will cut through a number of primary systems. We need to trigger a detonation on a large scale, however. A Starship's fusion reactor is going critical, would do the job. Alert, the monitor has to...
split_cortana1_nosilence_003|disabled all command access. We can't restart the countdown. The only remaining option is to detonate the ship's fusion reactors. That should do enough damage to destroy Halo. Analyzing. We have 7 minutes before the fusion drives...
split_cortana1_nosilence_004|detonate. We need to evac now, analyzing. We have six minutes before the fusion drives detonate. We need to evac now, analyzing. We have five minutes before the fusion drives detonate. We need to evac now.
split_cortana1_nosilence_005|Alert! Our RV point with Foammer is further towards the ship's bow than our current position. Use a wart hog to reach the extraction point or we'll never make it in time. At last! Are you alright? Can you move? Area secure. Captain? Captain?!
split_cortana1_nosilence_006|I've lost him, so you did miss me. Shut the system down so the covenant won't be able to lock us out. Survivors detected. Marines are concealed in those rocks. So if we damage or destroy these generators, the monitor will need to repair them before
split_cortana1_nosilence_007|Halo can be used. That should buy us some time. The bridge. We made it. Let's get to work. The covenant are putting up a real fight. The cartographer must be here. The covenant network is absolute chaos. From what I've been able to piece together, their
split_cortana1_nosilence_008|leadership ordered all ships to abandon Halo when they found the flood, but they were too late. The Covenant Battlenet is a mess! I can't access the ship's schematics. My records indicate that a shuttle bay should be here. The Covenant presence here is stronger than I anticipated. They seem to...
split_cortana1_nosilence_009|the entire region secured. There's so many I can't track them all. There's no time. Get out of here. Find keys. Stop him. They're already inside. We have to get in there and stop them before they learn the location of the control center. There's some Marines.
split_cortana1_nosilence_010|hiding in the hills above the structure. They're all dead. We didn't save them. Those Marines could use some help, Chief! Do what you do best! This looks like the ship's command center. The captain's transponder signal is strong, we must be close. Trust me, it's deep enough to cushion-
split_cortana1_nosilence_011|
split_cortana1_nosilence_012|This is where fo hammer is coming to pick us up. Hold position here. We couldn't save them. I recommend that we stay near the beacon and wait for extraction. We must be in the brig. These look like holding cells. We're cutting it close!
split_cortana1_nosilence_013|What the hell are you doing? We should make sure the area is clear of Covenant stragglers. We should head back to the shuttle bay and call for Evac. We shouldn't just leave them there. What are you doing? We have to stay with the Marines. Where are you going? We can't abandon those...
split_cortana1_nosilence_014|Marines, we need to stay near the RV point until PhoHammer arrives. You sure that's a good idea? You sure you wouldn't rather take a seat? You have no idea how this ring works, do you? Why the four runners built it? Halo doesn't kill flood. It...
split_cortana1_nosilence_015|kills their food. Let's hurry and find the final lifeboat so we can link up with the rest of the survivors. Let's get out of here and find another way back aboard the ship. Keep your head down. There's two of us in here now, remember? I'm going to call for reinforcements. There's no sense going in with any-
split_cortana1_nosilence_016|anything less than full strength. I'll call in a drop ship to pick them up. If those lifeboats make it down, the Covenant are going to be right on top of them. I haven't located the crash site yet, but we need to buy some time, in case the monitor or his sentinels find a way to activate Halo's final weapon...
split_cortana1_nosilence_017|I can read the captain's CNI transponder. He's in the control room. But I'm not detecting any human life signs. I recommend moving into those hills. If we're lucky, the covenant will believe that everyone aboard this lifeboat died.
split_cortana1_nosilence_018|in the crash. Everyone, sir? Don't worry, I have access to all of the reactor schematics and procedures. I'll walk you through it. Echo 419! She's gone. Calculating alternate escape route.
split_cortana1_nosilence_019|Ship's inventory shows one longsword fighter is still docked in launch base 7. If we move now, we can make it. Final target neutralized. Let's get out of here. Chief, get me out of this terminal! Captain the cannon was my last offensive option. Halo.
split_cortana1_nosilence_020|It's finished. Vancey, look. He stopped a self-destruct sequence. Interesting. The weather patterns here seem natural, not artificial. I wonder if the ring's environment systems are malfunctioning. Or if the designers wanted the...
split_cortana1_nosilence_021|installation to have inclement weather. If I still had fingers they'd be crossed. Left out that little detail, did he? I've located the final lifeboat. I'll give you a nav point to the beacon. There. That should give us enough time to make it to a lifeboat and put some distance between...
split_cortana1_nosilence_022|ourselves and halo before the detonation. The last lifeboat is near the cliff edge. The last lifeboat is in the mountains near a rock slide. The last lifeboat is near the head of the river. The island has multiple structures and installations. One of them contains
split_cortana1_nosilence_023|the map room. There's our ride. Get a board and let's get out of here. This isn't the map room. Analyzing. This is a security override station for the main facility located somewhere else on this island. There.
split_cortana1_nosilence_024|the cliff wall. I'll bet the silent cartographer is somewhere inside that facility. There, that hollow panel should activate the map. There must be some mechanism to cross this chasm. Look for a control panel or switch. There are probably multiple detention stations.
split_cortana1_nosilence_025|The captain must be in one of them. We need to keep looking for him. Oh, hell. No survivors, Master Chief. No human life signs detected. The captain! He's what of them? Not much. A well-placed grenade, perhaps, but why...
split_cortana1_nosilence_026|The tunnel door is locked. We need to find the door's controls and open it. There's one last lifeboat quickly get a board before it launches! A truth and reconciliation touched down on a desert plateau roughly 300 kilometers upspin. The second pulse generator is located in the...
split_cortana1_nosilence_027|adjacent canyon. Move out and I'll mark the target with a nav point when we get closer. There's new traffic on the Covenant Battle Network. A lot more crew made it off the autumn than I had predicted. The captain really gave them hell. If we can...
split_cortana1_nosilence_028|To find Captain Keys and the other survivors, we have a chance to coordinate an effective resistance. We're too close, we need to find another route. Until we decelerated, no one could have missed the whole we-tore in subspace. Wait, that's the locked door down there.
split_cortana1_nosilence_029|The Marines are waiting on the other side. The controls to open it must be somewhere in this room. They've locked the doors, and we don't have enough firepower to get through them. Right on top of us, let's find another way through. Use an explosive. I recommend a grenade.
split_cortana1_nosilence_030|made or rocket. If you run out of explosives, there is an armory station located near the engine room's entrance. Those covenant fools, they must have known, they must have been signed. They were waiting for us on the far side of the planet. Transform me back to your suit. We need to go.
split_cortana1_nosilence_031|We didn't rescue any of the Marines. A hundred percent casualties. We need that word hog if we want to get to the other lifeboats in time. We need to find the security override to get this door open. Warning! Blast doors closing!
split_cortana1_nosilence_032|We don't have much time. We should move outside and signal for EVAC, accessing schematics. There's a service lift at the top of the engine room. It leads to a Class 7 service corridor that runs along the ship's dorsal structure. Hurry! We can't make it on foot!
split_cortana1_nosilence_033|We need a vehicle! Warning, we should evacuate the area before Covenant forces arrive. We need to find the other two lifeboats. We can't leave yet, we need to wait for the dropship. We need a catalyst explosion to destabilize the magnetic containment.
split_cortana1_nosilence_034|field surrounding the fusion cells. We read you Echo 419. We have survivors and need immediate dust off. We need to get to the bridge. From there, we can use the captain's neural implants to initiate an overload of the ship's fusion engines.
split_cortana1_nosilence_035|The explosion should damage enough systems below it to destroy the ring. We should hurry they can't hold out much longer. We're not gonna make it! We should head this way towards the ship's gravity lift. What are you talking about? With those odds I'm content with three. You did that.
split_cortana1_nosilence_036|on purpose, didn't you? We'll be in a tight spot if we don't get out of here before additional reinforcements arrive. Let's find that map. We should wait here for the drop ship. While you do what, go down with the ship? Well, there's the entrance to the security substation, but...
split_cortana1_nosilence_037|But it looks like we'll have to look for another way up. With all due respect sir, this war has enough dead heroes. You don't believe me? Ask him. Look, more lifeboats, they're coming in fast. Let's go find the map room that will show us the-
split_cortana1_nosilence_038|Location of Halo's control center. I've got a good luck on Captain Key's C&I transponder signal. He's alive, and the implants are intact. There's some interference from the cruisers damaged reactor. I'll bring us in as close as I can. I've hacked into the Covenant Battle Network.
split_cortana1_nosilence_039|They're actually broadcasting tactical data on unencrypted channels. We should show them who they're dealing with. Master Chief, I'm going to use your suits transcom system to monitor their chatter. Keep it up, only one more fusion reactor to go!
split_cortana1_nosilence_040|Make that four kills. I located the pillar of autumn. She put down 1200 kilometers up spin. Energy reading show her fusion reactors are still powered up. I've spent the last 12 hours cooped up in here watching you totty about helping that thing-
